id,case_number,date_time,latitude,longitude,type,place_description,police_district
SHOOT-JH201995-#1,JH201995,2024-03-26 11:30:00,41.8028605,-87.67442,BATTERY,SIDEWALK,009
SHOOT-JH371298-#1,JH371298,2024-08-01 20:27:00,41.736908346,-87.546405346,BATTERY,RESIDENCE - YARD (FRONT / BACK),004
SHOOT-JG208865-#1,JG208865,2023-04-02 21:08:00,41.8791505,-87.73453,BATTERY,STREET,011
SHOOT-JG424705-#3,JG424705,2023-09-15 01:41:00,41.7205505,-87.62637,BATTERY,STREET,005
SHOOT-JH122209-#2,JH122209,2024-01-20 19:19:00,41.749613096,-87.631689059,BATTERY,SIDEWALK,006
SHOOT-JH203421-#1,JH203421,2024-03-27 16:04:00,41.857533096,-87.694250941,BATTERY,STREET,010
HOM-JH203878-#1,JH203878,2024-03-28 00:27:00,41.789937964,-87.708288905,HOMICIDE,STREET,008
SHOOT-JG293351-#3,JG293351,2023-06-08 16:28:00,41.803053096,-87.669260941,BATTERY,STREET,009
SHOOT-JH205857-#1,JH205857,2024-03-29 15:15:00,41.699701654,-87.614725346,ROBBERY,STREET,005
SHOOT-JH141398-#1,JH141398,2024-02-05 18:24:00,41.917228346,-87.728095346,BATTERY,STREET,025
SHOOT-JH173424-#3,JH173424,2024-03-03 02:02:00,41.898446904,-87.722630941,BATTERY,STREET,011
SHOOT-JH173353-#1,JH173353,2024-03-02 23:54:00,41.845881654,-87.710884654,HOMICIDE,STREET,010
SHOOT-JH374616-#1,JH374616,2024-08-04 12:01:00,41.789876904,-87.674999059,BATTERY,STREET,007
HOM-JH206109-#1,JH206109,2024-03-29 21:15:00,41.736873096,-87.644389059,HOMICIDE,PARKING LOT,006
SHOOT-JH206400-#1,JH206400,2024-03-30 03:40:00,41.844339669,-87.709898547,BATTERY,STREET,010
