id,case_number,date_time,latitude,longitude,type,place_description,police_district
13210881,JG424565,2023-09-14 22:02:00,41.794627664,-87.756808393,RECKLESS FIREARM DISCHARGE,STREET,008
13210450,JG423951,2023-09-14 13:08:00,41.748009697,-87.642744975,RECKLESS FIREARM DISCHARGE,STREET,006
13209842,JG423306,2023-09-14 00:06:00,41.750278351,-87.62948384,RECKLESS FIREARM DISCHARGE,ALLEY,006
13211711,JG425655,2023-09-15 18:10:00,41.763271955,-87.61037332,RECKLESS FIREARM DISCHARGE,STREET,003
13212005,JG425885,2023-09-15 21:42:00,41.763179477,-87.657856114,RECKLESS FIREARM DISCHARGE,STREET,007
13211665,JG425625,2023-09-15 17:38:00,41.870030201,-87.773068088,RECKLESS FIREARM DISCHARGE,STREET,015
13272392,JG498477,2023-11-10 04:43:00,41.936412832,-87.754154917,RECKLESS FIREARM DISCHARGE,STREET,025
13272350,JG498449,2023-11-10 03:07:00,41.933855177,-87.727036865,RECKLESS FIREARM DISCHARGE,STREET,025
13212866,JG427044,2023-09-16 14:09:00,41.750082059,-87.627012334,RECKLESS FIREARM DISCHARGE,ALLEY,006
13213019,JG427211,2023-09-16 22:58:00,41.72284884,-87.61658872,RECKLESS FIREARM DISCHARGE,ALLEY,006
13213028,JG427246,2023-09-16 23:35:00,41.808245053,-87.657661674,RECKLESS FIREARM DISCHARGE,STREET,009
13212875,JG427042,2023-09-16 18:46:00,41.872872067,-87.69698805,RECKLESS FIREARM DISCHARGE,SIDEWALK,011
13212194,JG426207,2023-09-16 04:47:00,41.763233515,-87.610370086,RECKLESS FIREARM DISCHARGE,SIDEWALK,003
13212228,JG426206,2023-09-16 05:14:00,41.936715577,-87.769213737,RECKLESS FIREARM DISCHARGE,STREET,025
13213140,JG427377,2023-09-17 02:31:00,41.828332841,-87.642388708,RECKLESS FIREARM DISCHARGE,STREET,009
13213068,JG427305,2023-09-17 00:49:00,41.938165467,-87.720666957,RECKLESS FIREARM DISCHARGE,SIDEWALK,025
13213497,JG427794,2023-09-17 00:01:00,41.813049566,-87.70291051,RECKLESS FIREARM DISCHARGE,STREET,009
13213644,JG427879,2023-09-17 02:00:00,41.782582418,-87.704899306,RECKLESS FIREARM DISCHARGE,STREET,008
13213137,JG427387,2023-09-17 02:43:00,41.930786468,-87.72328435,RECKLESS FIREARM DISCHARGE,PARK PROPERTY,025
13213139,JG427392,2023-09-17 02:54:00,41.917610357,-87.752175527,RECKLESS FIREARM DISCHARGE,SIDEWALK,025
13213382,JG427673,2023-09-17 10:31:00,41.775697578,-87.644680698,RECKLESS FIREARM DISCHARGE,VACANT LOT / LAND,007
13213506,JG427764,2023-09-17 04:00:00,41.800732182,-87.710263681,RECKLESS FIREARM DISCHARGE,STREET,008
13215261,JG429951,2023-09-18 23:28:00,41.805211569,-87.724730158,RECKLESS FIREARM DISCHARGE,ALLEY,008
13214661,JG429245,2023-09-18 12:48:00,41.922857228,-87.759796698,RECKLESS FIREARM DISCHARGE,SCHOOL - PRIVATE GROUNDS,025
13214992,JG429727,2023-09-18 18:44:00,41.802685798,-87.664809681,RECKLESS FIREARM DISCHARGE,SIDEWALK,009
13215654,JG430485,2023-09-18 17:35:00,41.879366188,-87.755900469,RECKLESS FIREARM DISCHARGE,STREET,015
13215666,JG430497,2023-09-18 19:34:00,41.879334846,-87.758405092,RECKLESS FIREARM DISCHARGE,STREET,015
13215112,JG429825,2023-09-18 20:47:00,41.765413352,-87.5677191,RECKLESS FIREARM DISCHARGE,ALLEY,003
13215258,JG429930,2023-09-18 23:01:00,41.771565984,-87.581840245,RECKLESS FIREARM DISCHARGE,ALLEY,003
13215607,JG430420,2023-09-19 10:43:00,41.78600522,-87.718718747,RECKLESS FIREARM DISCHARGE,ALLEY,008
13216390,JG431285,2023-09-19 23:38:00,41.770112648,-87.650609395,RECKLESS FIREARM DISCHARGE,STREET,007
13216360,JG431257,2023-09-19 22:45:00,41.847480644,-87.702675351,RECKLESS FIREARM DISCHARGE,ALLEY,010
13215314,JG430012,2023-09-19 02:29:00,41.838107012,-87.67541719,RECKLESS FIREARM DISCHARGE,STREET,009
13216819,JG431443,2023-09-20 02:08:00,41.797833204,-87.730649467,RECKLESS FIREARM DISCHARGE,STREET,008
13217112,JG432234,2023-09-20 17:56:00,41.89709834,-87.731619709,RECKLESS FIREARM DISCHARGE,STREET,011
13217371,JG432541,2023-09-20 23:41:00,41.780425312,-87.604967066,RECKLESS FIREARM DISCHARGE,STREET,003
13217380,JG432502,2023-09-20 22:03:00,41.750229101,-87.673438518,RECKLESS FIREARM DISCHARGE,SIDEWALK,006
13217358,JG432479,2023-09-20 21:51:00,41.823432057,-87.694627131,RECKLESS FIREARM DISCHARGE,STREET,009
13216421,JG431323,2023-09-20 03:11:00,41.712423064,-87.620099717,RECKLESS FIREARM DISCHARGE,STREET,005
13216990,JG432039,2023-09-20 15:51:00,41.887238537,-87.763964185,RECKLESS FIREARM DISCHARGE,STREET,015
13218414,JG433723,2023-09-21 18:49:00,41.803637305,-87.733257847,RECKLESS FIREARM DISCHARGE,STREET,008
